Sample_ID	faith_pd	Farm	Antibiotics	Env	Growth	Region
CDC-JF1A-3334	30.99227583	JF-3	Organic	Swine_Fecal	Adult	Jeonla
CDC-JF1A-4314	35.563291	JF-4	Organic	Swine_Fecal	Adult	Jeonla
CDC-JF1A-4324	25.18003781	JF-4	Organic	Swine_Fecal	Adult	Jeonla
CDC-JF1A-4334	39.2602966	JF-4	Organic	Swine_Fecal	Adult	Jeonla
CDC-KF1A-1314	30.34611213	KF-1	Conventional	Swine_Fecal	Adult	Kyeongki
CDC-KF1A-1324	33.41739242	KF-1	Conventional	Swine_Fecal	Adult	Kyeongki
CDC-KF1A-1334	31.55824605	KF-1	Conventional	Swine_Fecal	Adult	Kyeongki
20-JF2A-1312	24.44175338	JF-1	Conventional	Nasal	Adult-Nasal	Jeonla
20-JF2A-1322	17.69483804	JF-1	Conventional	Nasal	Adult-Nasal	Jeonla
20-JF2A-1332	13.99712815	JF-1	Conventional	Nasal	Adult-Nasal	Jeonla
20-JF2A-1342	21.70465165	JF-1	Conventional	Nasal	Adult-Nasal	Jeonla
20-JF2A-1352	18.01528341	JF-1	Conventional	Nasal	Adult-Nasal	Jeonla
20-KF2A-1312	22.73230811	KF-1	Conventional	Nasal	Adult-Nasal	Kyeongki
20-KF2A-1322	10.64994267	KF-1	Conventional	Nasal	Adult-Nasal	Kyeongki
20-KF2A-1342	8.787733122	KF-1	Conventional	Nasal	Adult-Nasal	Kyeongki
20-CF2A-114	33.72192518	CF-1	Conventional	Swine_Fecal	Baby	Chungcheong
20-CF2A-124	34.62850709	CF-1	Conventional	Swine_Fecal	Baby	Chungcheong
20-CF2A-134	41.93017595	CF-1	Conventional	Swine_Fecal	Baby	Chungcheong
20-CF2A-314	31.83063252	CF-3	Organic	Swine_Fecal	Baby	Chungcheong
20-CF2A-334	32.27580736	CF-3	Organic	Swine_Fecal	Baby	Chungcheong
20-JF2A-114	42.09440993	JF-1	Conventional	Swine_Fecal	Baby	Jeonla
20-JF2A-124	26.53992648	JF-1	Conventional	Swine_Fecal	Baby	Jeonla
20-JF2A-134	31.88039571	JF-1	Conventional	Swine_Fecal	Baby	Jeonla
20-JF2A-314	39.63873641	JF-3	Organic	Swine_Fecal	Baby	Jeonla
20-JF2A-324	31.77130632	JF-3	Organic	Swine_Fecal	Baby	Jeonla
20-JF2A-334	45.10513905	JF-3	Organic	Swine_Fecal	Baby	Jeonla
20-JF2A-414	41.35305282	JF-4	Organic	Swine_Fecal	Baby	Jeonla
20-JF2A-424	37.86846102	JF-4	Organic	Swine_Fecal	Baby	Jeonla
20-JF2A-434	34.43758694	JF-4	Organic	Swine_Fecal	Baby	Jeonla
20-KF2A-114	27.32202078	KF-1	Conventional	Swine_Fecal	Baby	Kyeongki
